ID,名字,描述,获得方式
82143,Sabit Kelelawar,Penggunaan: Unlock skin senjata ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82144,Kapak Penghancur Bintang,Penggunaan: Unlock skin senjata ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82145,SMB Api Teratai,Penggunaan: Unlock skin senjata ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82146,Pedang Angin Teratai,Penggunaan: Unlock skin senjata ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82147,Sekop Lembang Hijau,Penggunaan: Unlock skin senjata ini secara permanen. Dapatkan Mini Bean jika telah diunlock secara permanen.,
82148,Palu Lucu,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82149,Senjata Mesin Akabane,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82150,Pisau Maple,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82151,Sekop Beraroma Bunga,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82152,Revolver Biru,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82153,Pedang Es,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82154,Pistol Ungu,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82155,Palu Impian Biru,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82156,Senapan Mesin Citrine,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82157,Planet Scepter,"Buka kunci kulit senjata secara permanen. Jika sudah dibuka secara permanen, dapatkan kacang mini.",
82158,Pedang skala sekilas,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82159,Palu jam pasir sekilas,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82160,Senapan mesin berat waktu singkat,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82161,Pedang sikat Guyun,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82162,Sikat palu kuno,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82163,Guyun Gulir Senapan Penembak Jitu,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82164,memesan,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82165,Dumengjian,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82166,Kapak Moonbrokat,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82167,Palu Merah,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82168,Pedang tongkat permen Natal,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82169,Sarung Tangan Natal Sekop,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82170,Senapan sniper Elk Natal,"Gunakan: Buka kunci kulit senjata secara permanen. Jika kostum telah dibuka secara permanen, dapatkan kacang mini.",
82171,Azure Sniper,"Gunakan itu untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan beberapa Mini Kacang.",
82172,Shadow Blade,"Gunakan untuk membuka kunci Kulit Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan beberapa Mini Kacang.",
82173,Delicacy Shovel,"Gunakan untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah dibuka secara permanen, kamu akan mendapatkan beberapa Kacang Mini.",
82174,Red Flame Dragon Heavy Machine Gun.,"Gunakan untuk membuka kunci Kulit Senjata ini secara permanen. Jika kulit sudah terbuka secara permanen, kamu akan mendapatkan beberapa Mini Kacang.",
82175,Red Dragon Abyssal Sniper Rifle.,"Gunakan untuk membuka kunci kulit senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan beberapa Mini Beans.",
82176,Xuanyuan Dragon Slaying Sword,"Gunakan untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapat beberapa Mini Beans.",
82177,Giant Dragon Red Flame Axe,"Gunakan untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, anda akan mendapatkan beberapa Mini Beans.",
82178,Senapan Sniper Spirit Flame,"Gunakan untuk membuka kunci Kulit Senjata ini secara permanen. Jika Kulit telah dibuka secara permanen, Anda akan mendapatkan beberapa Mini Biji.",
82179,Revolver Starry Array,"Gunakan untuk membuka kunci Kulit Senjata ini secara permanen. Jika Kulit telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
82180,Void Axe,"Gunakan untuk membuka kunci kulit senjata ini secara permanen. Jika kulitnya telah berhasil dibuka secara permanen, kamu akan mendapatkan beberapa Kacang Mini.",
82181,Golden Koi Revolver.,"Gunakan untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Mini Beans.",
82182,Duo-Koi Meledakkan Heavy Machine Gun,"Gunakan untuk membuka kunci kulit Senjata ini secara permanen. Jika kulit telah terbuka secara permanen, kamu akan mendapatkan beberapa Kacang Mini.",
82183,Senapan Sniper Mulut Koi Emas.,"Gunakan untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
82184,Golden Koi Reunion Axe,"Gunakan untuk membuka kunci Skin Senjata ini secara permanen. Jika Skin telah terbuka permanen, Anda akan mendapat beberapa Mini Kacang.",
82185,Koi Gourd Hammer,"Gunakanlah untuk membuka kunci kulit senjata ini secara permanen. Jika Kulitnya telah terbuka secara permanen, kamu akan mendapatkan beberapa Mini Kacang.",
82186,Pedang Sirip Koi,"Gunakan untuk membuka kunci Senjata Skin ini secara permanen. Jika Skin telah dibuka secara permanen, Anda akan mendapatkan beberapa Kacang Mini.",
82187,,,
82188,,,
82189,,,
82190,,,
82191,,,
82192,,,
82193,Bilah Pasang Surut (3 hari),"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82194,Sekop Gelombang,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82195,Senapan Sniper Raungan Pasang Surut,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82196,Senapan Mesin Tide Fury,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82197,Kapak Pemburu Naga,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82198,Meriam Pemburu Hiu,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82199,Penembak Jitu Sirip Baja,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82200,Pisau Bayangan Hiu,"Gunakan untuk membuka Skin Senjata ini secara permanen. Jika Skin telah terbuka secara permanen, Anda akan mendapatkan Mini Beans.",
82201,,,
82202,,,
82203,,,
82204,,,
82205,,,
82206,,,
82207,,,
82208,,,
82209,,,
82210,,,
82211,,,
82212,,,
82213,,,
82214,,,
82215,,,
82216,,,
82217,,,
82218,,,
82219,Pistol pasta gigi P/S,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",
82220,Sikat gigi P/S kapak,"Gunakan: Buka kunci pola untuk waktu yang terbatas. Jika Anda telah membuka kunci pola secara permanen, Anda akan mendapatkan beberapa Mini Beans",
84000,82001-84000 Dilindungi untuk kulit senjata permanen,82001-84000 Dilindungi untuk kulit senjata permanen,
84001,Senapan Kepala Naga - Shard,Membuka Skin senjata Dragon Head Rifle. Cek di #cfa7a0fMall-Weapon#n. Cara mendapatkannya: Lotere Paket Hadiah,@Null@
84002,Senapan Mesin Berat Singa - Shard,Membuka Skin senjata Lion Heavy Machine Gun. Cek di #cfa7a0fMall-Weapon#n. Cara mendapatkannya: Lotere Paket Hadiah,@Null@
84003,Revolver Harimau - Shard,Membuka Skin senjata Tiger Revolver. Cek di #cfa7a0fMall-Weapon#n. Cara mendapatkannya: Lotere Paket Hadiah,@Null@
86000,@Null@,@Null@,@Null@
86001,Mahkota Eksklusif,Member Exclusive Bubble Box,@Null@
86002,Greenery,Membership activity,@Null@
86003,,,
86004,,,
86005,,,
86006,,,
86007,,,
86008,,,
86009,,,
86010,,,
86011,,,
88000,@Null@,@Null@,@Null@
88001,Mahkota Eksklusif (3 Hari),Member Exclusive Bubble Box,@Null@
88002,Greenery(3 Hari),Membership activity,@Null@
88003,,,
88004,,,
88005,,,
88006,,,
88007,,,
88008,,,
88009,,,
88010,,,
88011,,,
90000,@Null@,@Null@,@Null@
90001,,,
90002,,,
90003,,,
90004,,,
90005,,,
90006,,,
90007,,,
90008,,,
90009,,,
90010,,,
90011,,,
90012,,,
90013,,,
92000,,,
92001,,,
92002,,,
92003,,,
92004,,,
92005,,,
92006,,,
92007,,,
92008,,,
92009,,,
92010,,,
92011,,,
92012,,,
92013,,,
94000,,,
95001,,,
95002,,,
96000,,,
96001,,,
96002,,,
97000,,,
97001,,,
97002,,,
97003,,,
97004,,,
97005,,,
97006,,,
97007,,,
97008,,,
97009,,,
97010,,,
97011,,,
97012,,,
97013,,,
97014,,,
97015,,,
97016,,,
97017,,,
97018,,,
97019,,,
97020,,,
97021,,,
97022,,,
97023,,,
97024,,,
97025,,,
97026,,,
97027,,,
97028,,,
97029,,,
97500,,,
97501,,,
97502,,,
97503,,,
97504,,,
97505,,,
97506,Kode Harapan,Digunakan untuk peningkatan atau penempaan level peti di dalam acara Meja Tempa Ajaib.,
97507,Koin Harapan,"Digunakan untuk menebus hadiah di dalam acara [Meja Tempa Ajaib]. (Akan kedaluwarsa setelah acara berakhir, harap gunakan tepat waktu)",
97508,Kode Harapan,Digunakan untuk peningkatan atau penempaan level peti di dalam acara Meja Tempa Ajaib.,
97599,97501-97599 Dilindungi untuk alat peraga acara,,
97601,Kupon 20 Mini Coin,20 Mini Coin dapat dihemat saat pembelian skin (hanya untuk penjualan langsung di toko),
97602,Kupon Fireflower 50 Mini Coin,50 Mini Coin dapat dihemat saat pembelian skin Fire Flower (hanya untuk penjualan langsung di toko),
97603,Kupon Kapten Football 50 Mini Coin,50 Mini Coin dapat dihemat saat pembelian skin Kaptin Football (hanya untuk penjualan langsung di toko),
97604,Kupon Misra 50 Mini Coin,50 Mini Coin dapat dihemat saat pembelian skin Misra (hanya untuk penjualan langsung di toko),
97605,Kupon Diskon 10%,Pembelian skin Diskon 10% (hanya untuk penjualan langsung di toko),
97606,Kupon Skin 20% Off,Pembelian skin Diskon 20% (hanya untuk penjualan langsung di toko),
97607,Kupon Pinokio 30% Off,Pembelian skin Pinokio Dsikon 30% (hanya untuk penjualan langsung di toko),
97608,Kupon Alice 30% Off,Pembelian skin Alice Dsikon 30% (hanya untuk penjualan langsung di toko),
97609,Kupon Christopher 30% Off,Pembelian skin Christopher Dsikon 30% (hanya untuk penjualan langsung di toko),
97610,Voucher 300 Mini Coin Hemat 50,50 Mini Coin dapat dihemat saat pembelian melebihi 300 mini coin (hanya untuk penjualan langsung di toko),
97611,Kupon diskon 50% Bunga Kiki,Mendapatkan diskon 50% saat melakukan pembelian skin Bunga Kiki(hanya untuk penjualan langsung di toko),
97799,97601-97799 Dicadangkan untuk kupon,,
97801,,,
97802,,,
97803,,,
97804,,,
97805,,,
97806,,,
97807,,,
97808,,,
97809,,,
97810,,,
97811,,,
97812,,,
97813,,,
97814,,,
97815,,,
97816,,,
97817,,,
97818,,,
97819,,,
97820,,,
97821,,,
97822,,,
97823,,,
97824,,,
97825,,,
98799,,,
98801,,,
98802,,,
98803,,,
98804,,,
98805,,,
98806,,,
98807,,,
98808,,,
98809,,,
98810,,,
98811,,,
98812,,,
98813,,,
98814,,,
98815,,,
98816,,,
98817,,,
98818,,,
98819,,,
98820,,,
98821,,,
98822,,,
98823,,,
98824,,,
98825,,,
99799,,,
149999,,,
150000,Totem Suku Icefield,Penduduk desa Icefield akan berkumpul di sekitar Blok Totem Suku Icefield. Area #c0aba1d11*11*5#n di sekitarnya akan menjadi tempat penyimpanan penduduk desa.,
150001,Totem Suku Ladang Es Liar,Penduduk desa Icefield akan berkumpul di sekitar Blok Totem Suku Icefield. Area #c0aba1d11*11*5#n di sekitarnya akan menjadi tempat penyimpanan penduduk desa.,
150002,Bendera Berburu,Pemburu Desa bekerja di sekitar Bendera Berburu dalam area #c0aba1d20*20#n.,
150003,Bendera Perburuan Liar,Pemburu Desa bekerja di sekitar Bendera Berburu dalam area #c0aba1d20*20#n.,
150004,Bendera Bangunan,"Anda dapat menggunakan gambar cetak biru atau cetak biru bangunan pada Bendera Bangunan. Setelah menggunakannya, model pratinjau #c0aba1dbuilding#nakan muncul. Setelah diisi dengan material, pekerja desa akan secara otomatis membangun sesuai dengan cetak biru.",
150005,Bendera Bangunan Liar,"Anda dapat menggunakan gambar cetak biru atau cetak biru bangunan pada Bendera Bangunan. Setelah menggunakannya, model pratinjau #c0aba1dbuilding#nakan muncul. Setelah diisi dengan material, pekerja desa akan secara otomatis membangun sesuai dengan cetak biru.",
150006,Bendera Woodman Liar,Village Woodmen akan bekerja di sekitar Woodman Flag dalam area #c0aba1d20*20#n.,
150007,Bibit Puffshroom Es,"Bentuk remaja Ice Puffshroom, yang akan matang setelah jangka waktu tertentu ketika ditanam di @item_120#.",
150008,Puffshroom Es Tanpa Cahaya,"Setelah meletuskan spora suhu #c0aba1dlow#n di dalamnya, Ice Puffshroom telah memasuki status #c0aba1dhibernation#n.",
150009,Puffshroom es ringan,"Jamur #c0aba1dluminescent#n yang tumbuh di lingkungan dingin gua gunung salju memiliki kemampuan untuk meletuskan spora suhu rendah ketika makhluk mendekat. Spora ini menghasilkan kabut es dan #c0aba1dlower suhu sekitarnya # n. Setelah setiap letusan, mereka kehilangan cahaya dan perlu #c0aba1dhibernate#n untuk jangka waktu tertentu sebelum mereka dapat memulihkan.",
150010,Bibit Pakis Es,Bibit Pakis Es,
150011,Tunas Pakis Es,Status keriting pakis es,
150012,Pakis Es,"Ripe Ice Ferns terus menarik energi dari lingkungan dingin di sekitarnya dan menyimpannya dalam buah-buahan mereka. Saat buahnya matang, Anda bisa memanen @item_11824# kental darinya.",
150013,Batang berkilauan,Tempatkan untuk menerangi ruang sekitarnya secara permanen dan #c0aba1dlower suhu sekitarnya # n. Ini bekerja dengan baik bahkan ketika ditempatkan di bawah air.,
150015,Tempat Tidur Bulu,"Sangat hangat, penting untuk daerah dingin. Berbaringlah saat matahari terbenam, dan tidur sepanjang malam.",
150016,Pintu Kayu Icefield,"Pintu kayu yang berat, memberikan rasa aman yang kuat.",
150018,Lampu Brazier,Api yang hangat terasa begitu nyaman di tengah angin yang dingin.,
150020,Meja Kayu Icefield,Meja kayu yang stabil dengan beberapa opsi perakitan.,
150021,Kursi Kayu Icefield,Kursi kayu yang stabil dengan beberapa opsi perakitan.,
150022,Lemari Kayu Icefield,"Kotak penyimpanan kecil dan halus, yang juga merupakan perabot unik di desa Icefield.",
150023,Jendela Kayu Icefield Square,"Jendela sederhana dan polos, sangat praktis.",
150025,Karpet Mewah,Karpet mewah yang lembut dan hangat.,
150026,Lentera Manusia Salju,Lampu berbentuk manusia salju dengan berbagai warna.,
150027,Lentera Manusia Salju,Lampu berbentuk manusia salju dengan berbagai warna.,
150028,Sarang Penguin,,
150029,bangku fusi,"Tempatkan @item_11911# ke dalam Fusion Bench untuk memberinya energi.#r Ketika energi tersisa, tempatkan dua #c0aba1dweapon#n ke dalamnya untuk mengubahnya menjadi Senjata Akimbo!",
150043,Tirai Icefield,Gorden cantik yang dicintai banyak orang.,
150044,Bendera Petani Liar,Petani Boarman akan bekerja di sekitar Bendera Petani dalam area #c0aba1d9*9*5#n.,
150045,Bendera Penjaga Liar,Penjaga Boarman bekerja di sekitar Bendera Penjaga dalam area #c0aba1d20*20#n.,
150046,Perangkat Beku,"Perangkat yang ditenagai oleh Celesthium yang membeku, mampu membekukan makhluk di atas menjadi patung es atau membuat patung es ketika seorang pemain lewat di atasnya.",
150047,Cabang larch kasar,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat ditebang",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
150048,Cabang lengkung,"Dapat diolah menjadi berbagai alat dan alat peraga di @item_800#, dan juga dapat digunakan sebagai bahan bakar#r#c0aba1d alat kapak#n dapat dengan cepat dipotong, dan juga dapat digunakan sebagai#c0aba1d hidung manusia salju#n",Inlay#c0aba1d pada alat kapak untuk mendapatkan rune lengkap#n dan kemudian memotongnya untuk mendapatkan
150100,,,
150101,Piring Buah Kecil,Porsi hidangan pembuka yang lezat dan sehat,Dimasak dengan cara direbus di @item_200108# atau @item_200109#
150102,Sayuran Tumis Kecil,Porsi hidangan pembuka yang lezat dan sehat,Dimasak dengan cara direbus di @item_200108# atau @item_200109#
150103,Steak Goreng Kecil,Bukankah satu hidangan saja sudah cukup? Apakah Anda ingin memiliki yang lain?,Dimasak dengan cara direbus di @item_200108# atau @item_200109#
150104,Ikan Goreng Kecil,Setiap hidangan mungkin hanya memiliki satu ikan,Dimasak dengan cara direbus di @item_200108# atau @item_200109#
