ID,名字,描述,获得方式
540052,Titanyum Balta + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540053,Titanyum Balta + Orak Makinesi,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540054,Titanyum Balta + Enerji Kılıcı,#c0aba1dCharge#n anında belirli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540055,Titanyum Balta + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540056,Titanyum Balta + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540057,Titanyum Balta + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540058,Titanyum Balta + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540059,Testere + Pirinç Balta,"Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dBaltanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun, böylece düğme bırakılana kadar temas ettiği #c0aba1dtrees#n'i sürekli olarak keser",Elde etmek için @item_150029##n kullanın
540060,Testere + Taş Balta,"Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dBaltanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun, böylece düğme bırakılana kadar temas ettiği #c0aba1dtrees#n'i sürekli olarak keser",Elde etmek için @item_150029##n kullanın
540061,Testere + Mithril Balta,"Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dBaltanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun, böylece düğme bırakılana kadar temas ettiği #c0aba1dtrees#n'i sürekli olarak keser",Elde etmek için @item_150029##n kullanın
540062,Testere + Titanyum Balta,"Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dBaltanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun, böylece düğme bırakılana kadar temas ettiği #c0aba1dtrees#n'i sürekli olarak keser",Elde etmek için @item_150029##n kullanın
540063,Testere + Testere,"Her iki elle kullanılmak üzere tasarlanmış bir kayıt aracı. #c0aba1dBaltanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun, böylece düğme bırakılana kadar temas ettiği #c0aba1dtrees#n'i sürekli olarak keser",Elde etmek için @item_150029##n kullanın
540064,Testere + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540065,Testere + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540066,Testere + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540067,Testere + Titanyum Warhammer,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540068,Testere + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540069,Testere + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540070,Testere + Orak Makinesi,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540071,Testere + Enerji Kılıcı,#c0aba1dCharge#n anında belirli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Tahta bir bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540072,Testere + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540073,Testere + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540074,Testere + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540075,Testere + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Tahta bir bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540076,Pirinç Kazma + Pirinç Kazma,"Daha hızlı cevher çıkarılmasını sağlayan, iki elle kullanılmak üzere tasarlanmış bir madencilik aracı.",Elde etmek için @item_150029##n kullanın
540077,Pirinç Kazma + Taş Kazma,"Daha hızlı cevher çıkarılmasını sağlayan, iki elle kullanılmak üzere tasarlanmış bir madencilik aracı.",Elde etmek için @item_150029##n kullanın
540078,Pirinç Kazma + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540079,Pirinç Kazma + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540080,Pirinç Kazma + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540081,Pirinç Kazma + Titanyum Savaş Çekici,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540082,Pirinç Kazma + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540083,Pirinç Kazma + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540084,Pirinç Kazma + Orakçı,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540085,Pirinç Kazma + Enerji Kılıcı,#c0aba1dCharge#n anında belirli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540086,Pirinç Kazma + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540087,Pirinç Kazma + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540088,Pirinç Kazma + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540089,Pirinç Kazma + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540090,Taş Kazma + Taş Kazma,"Daha hızlı cevher çıkarılmasını sağlayan, iki elle kullanılmak üzere tasarlanmış bir madencilik aracı.",Elde etmek için @item_150029##n kullanın
540091,Taş Kazma + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540092,Taş Kazma + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540093,Taş Kazma + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540094,Taş Kazma + Titanyum Savaş Çekici,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540095,Taş Kazma + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540096,Taş Kazma + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540097,Taş Kazma + Biçme Makinesi,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540098,Taş Kazma + Enerji Kılıcı,#c0aba1dCharge#n anında belirli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540099,Taş Kazma + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540100,Taş Kazma + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540101,Taş Kazma + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540102,Taş Kazma + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540103,Mithril Kazma + Pirinç Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1d1*3*1 menzilindeki#n Taş Blokları sürekli olarak kırmasını sağlar.",Elde etmek için @item_150029##n kullanın
540104,Mithril Kazma + Taş Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1d1*3*1 menzilindeki#n Taş Blokları sürekli olarak kırmasını sağlar.",Elde etmek için @item_150029##n kullanın
540105,Mithril Kazma + Mithril Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1d1*3*1 menzilindeki#n Taş Blokları sürekli olarak kırmasını sağlar.",Elde etmek için @item_150029##n kullanın
540106,Mithril Kazma + Tahta Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540107,Mithril Kazma + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540108,Mithril Kazma + Dondurucu Çubuk,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540109,Mithril Kazma + Titanyum Savaş Çekici,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540110,Mithril Kazma + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540111,Mithril Kazma + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540112,Mithril Kazma + Orakçı,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540113,Mithril Kazma + Enerji Kılıcı,#c0aba1dCharge#n anında belirli bir mesafe boyunca ileri doğru hareket eder ve temas halinde düşmanlara hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540114,Mithril Kazma + Taş Mızrak,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540115,Mithril Kazma + Pirinç Mızrak,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540116,Mithril Kazma + Enerji Mızrağı,#c0aba1dCharge#n onu düşmanlara fırlatır ve birden fazla hedefe nüfuz etmesini sağlar. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540117,Mithril Kazma + Şeytan Balığı Zıpkını,#c0aba1dCharge#n fırlatmak için. Bir taş bloğa çarpılırsa parçalanır.#r Tekrar tekrar kullanmak üzere geri alın.,Elde etmek için @item_150029##n kullanın
540118,Titanyum Kazma + Pirinç Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1dçapraz benzeri bir aralıktaki#n Taş Blokları sürekli olarak kırmasına olanak tanır",Elde etmek için @item_150029##n kullanın
540119,Titanyum Kazma + Taş Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1dçapraz benzeri bir aralıktaki#n Taş Blokları sürekli olarak kırmasına olanak tanır",Elde etmek için @item_150029##n kullanın
540120,Titanyum Kazma + Mithril Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1dçapraz benzeri bir aralıktaki#n Taş Blokları sürekli olarak kırmasına olanak tanır",Elde etmek için @item_150029##n kullanın
540121,Titanyum Kazma + Titanyum Kazma,"Her iki elle kullanılmak üzere tasarlanmış bir madencilik aracı. #c0aba1dKazmanın İmha modunu etkinleştirmek için Şarj Düğmesine#n basın ve basılı tutun; bu, düğme bırakılana kadar temas ettiği #c0aba1dçapraz benzeri bir aralıktaki#n Taş Blokları sürekli olarak kırmasına olanak tanır",Elde etmek için @item_150029##n kullanın
540122,Titanyum Kazma + Ahşap Silah,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540123,Titanyum Kazma + Chikuchiku Bangbang Çekiç,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540124,Titanyum Kazma + Dondurma Çubuğu,#c0aba1dCharge#n önünüzdeki yaratığı sersemletmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540125,Titanyum Kazma + Titanyum Savaş Çekici,#c0aba1dCharge#n büyük bir kuvvetle yere çarparak yakındaki yaratıkları savurur ve büyük hasar verir. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540126,Titanyum Kazma + Taş Kılıç,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540127,Titanyum Kazma + Hançer,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
540128,Titanyum Kazma + Orakçı,#c0aba1dCharge#n yakındaki yaratıklara zarar veren bir kesme saldırısı gerçekleştirmek için. Bir taş bloğa vurulursa parçalanır.,Elde etmek için @item_150029##n kullanın
